PREFE,CNA_COD,Column1,_1,_2,_3,CNA_NUMERO,_4,_5,_6,_7,_8,CNA_NOME
PM_MAGE,101122,154700,Criação de suínos                                                                                                                                                                                                                                                                                           ,,,,,,,,,
PM_MAGE,101123,1555,Criação de aves                                                                                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101124,155501,Criação de frangos para corte                                                                                                                                                                                                                                                                               ,,,,,,,,,
PM_MAGE,101125,155502,Produção de pintos de um dia                                                                                                                                                                                                                                                                                ,,,,,,,,,
PM_MAGE,101126,155503,"Criação de outros galináceos, exceto para corte                                                                                                                                                                                                                                                             ",,,,,,,,,
PM_MAGE,101127,155504,"Criação de aves, exceto galináceos                                                                                                                                                                                                                                                                          ",,,,,,,,,
PM_MAGE,101128,155505,Produção de ovos                                                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101129,1598,Criação de animais não especificados anteriormente                                                                                                                                                                                                                                                          ,,,,,,,,,
PM_MAGE,101130,159801,Apicultura                                                                                                                                                                                                                                                                                                  ,,,,,,,,,
PM_MAGE,101131,159802,Criação de animais de estimação                                                                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101132,159803,Criação de escargô                                                                                                                                                                                                                                                                                          ,,,,,,,,,
PM_MAGE,101133,159804,Criação de bicho-da-seda                                                                                                                                                                                                                                                                                    ,,,,,,,,,
PM_MAGE,101134,159899,Criação de outros animais não especificados anteriormente                                                                                                                                                                                                                                                   ,,,,,,,,,
PM_MAGE,101135,16,"Atividades de apoio à agricultura e à pecuária, atividades de pós-colheita                                                                                                                                                                                                                                  ",,,,,,,,,
PM_MAGE,101136,1610,Atividades de apoio à agricultura                                                                                                                                                                                                                                                                           ,,,,,,,,,
PM_MAGE,101137,161001,Serviço de pulverização e controle de pragas agrícolas                                                                                                                                                                                                                                                      ,,,,,,,,,
PM_MAGE,101138,161002,Serviço de poda de árvores para lavouras                                                                                                                                                                                                                                                                    ,,,,,,,,,
PM_MAGE,101139,161003,"Serviço de preparação de terreno, cultivo e colheita                                                                                                                                                                                                                                                        ",,,,,,,,,
PM_MAGE,101140,161099,Atividades de apoio à agricultura não especificadas anteriormente                                                                                                                                                                                                                                           ,,,,,,,,,
PM_MAGE,101141,1628,Atividades de apoio à pecuária                                                                                                                                                                                                                                                                              ,,,,,,,,,
PM_MAGE,101142,162801,Serviço de inseminação artificial em animais                                                                                                                                                                                                                                                                ,,,,,,,,,
PM_MAGE,101143,162802,Serviço de tosquiamento de ovinos                                                                                                                                                                                                                                                                           ,,,,,,,,,
PM_MAGE,101144,162803,Serviço de manejo de animais                                                                                                                                                                                                                                                                                ,,,,,,,,,
PM_MAGE,101145,162899,Atividades de apoio à pecuária não especificadas anteriormente                                                                                                                                                                                                                                              ,,,,,,,,,
PM_MAGE,101146,1636,Atividades de pós-colheita                                                                                                                                                                                                                                                                                  ,,,,,,,,,
PM_MAGE,101147,163600,Atividades de pós-colheita                                                                                                                                                                                                                                                                                  ,,,,,,,,,
PM_MAGE,101148,17,Caça e serviços relacionados                                                                                                                                                                                                                                                                                ,,,,,,,,,
PM_MAGE,101149,1709,Caça e serviços relacionados                                                                                                                                                                                                                                                                                ,,,,,,,,,
PM_MAGE,101150,170900,Caça e serviços relacionados                                                                                                                                                                                                                                                                                ,,,,,,,,,
PM_MAGE,101151,2,PRODUÇÃO FLORESTAL                                                                                                                                                                                                                                                                                          ,,,,,,,,,
PM_MAGE,101152,21,Produção florestal - florestas plantadas                                                                                                                                                                                                                                                                    ,,,,,,,,,
PM_MAGE,101153,2101,Produção florestal - florestas plantadas                                                                                                                                                                                                                                                                    ,,,,,,,,,
PM_MAGE,101154,210101,Cultivo de eucalipto                                                                                                                                                                                                                                                                                        ,,,,,,,,,
PM_MAGE,101155,210102,Cultivo de acácia-negra                                                                                                                                                                                                                                                                                     ,,,,,,,,,
PM_MAGE,101156,210103,Cultivo de pinus                                                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101157,210104,Cultivo de teca                                                                                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101158,210105,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca                                                                                                                                                                                                                               ",,,,,,,,,
PM_MAGE,101159,210106,Cultivo de mudas em viveiros florestais                                                                                                                                                                                                                                                                     ,,,,,,,,,
PM_MAGE,101160,210107,Extração de madeira em florestas plantadas                                                                                                                                                                                                                                                                  ,,,,,,,,,
PM_MAGE,101161,210108,Produção de carvão vegetal - florestas plantadas                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101162,210109,Produção de casca de acácia-negra - florestas plantadas                                                                                                                                                                                                                                                     ,,,,,,,,,
PM_MAGE,101163,210199,Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas                                                                                                                                                                                                                 ,,,,,,,,,
PM_MAGE,101164,22,Produção florestal - florestas nativas                                                                                                                                                                                                                                                                      ,,,,,,,,,
PM_MAGE,101165,2209,Produção florestal - florestas nativas                                                                                                                                                                                                                                                                      ,,,,,,,,,
PM_MAGE,101166,220901,Extração de madeira em florestas nativas                                                                                                                                                                                                                                                                    ,,,,,,,,,
PM_MAGE,101167,220902,Produção de carvão vegetal - florestas nativas                                                                                                                                                                                                                                                              ,,,,,,,,,
PM_MAGE,101168,220903,Coleta de castanha-do-pará em florestas nativas                                                                                                                                                                                                                                                             ,,,,,,,,,
